Years	Censor	Gender
7.5	0	0
3.66667	1	1
0.58333	0	0
3.66667	1	1
3.75	1	1
4.25	0	0
3.66667	1	0
7.75	1	1
3.66667	1	0
1.66667	0	0
3.66667	1	1
3.33333	1	0
5.33333	1	0
3.75	1	1
4.25	1	1
3.66667	1	1
1.75	0	1
3.75	1	0
5.75	1	1
4.75	1	0
6.16667	1	0
3.66667	1	1
4.66667	1	0
3.25	1	1
7.66667	0	0
3.66667	1	0
3.75	1	1
3.66667	1	0
2	0	0
5.66667	1	0
0.5	0	0
3.75	1	0
3.75	1	1
4	1	0
3.75	1	0
5.25	1	0
3.25	1	1
1.58333	0	1
3.75	1	0
7.66667	0	0
1.75	0	1
4.66667	1	1
0.75	0	0
2.66667	0	0
7.5	0	0
4.75	1	0
5.66667	1	0
1.91667	0	0
1.5	0	1
3.66667	1	0
1.75	0	1
5.25	1	1
3.75	1	1
5.33333	1	1
3.66667	1	1
7.58333	0	1
2	0	1
4.75	1	1
3.08333	0	1
3.83333	1	1
7.25	0	0
5.25	1	1
3.66667	1	1
3.75	1	0
4.75	0	0
3.75	1	1
7.66667	0	0
4.25	1	0
0.25	0	0
0.33333	0	1
5.25	0	0
4.16667	0	1
4	1	1
3.91667	1	0
0.66667	0	1
5.5	0	0
0.16667	0	0
1.91667	0	0
0.5	0	1
7.41667	0	0
0.41667	0	1
4.33333	1	1
5.91667	0	1
0.5	0	0
2.16667	0	1
2.83333	0	0
3.66667	1	1
4.66667	1	0
3.75	1	1
1.16667	0	1
2.08333	0	0
7.5	0	0
0.25	0	0
0.33333	0	1
3.83333	0	0
2.75	0	1
1	0	1
3.75	1	1
0.33333	0	1
5	1	0
4.33333	1	1
4.33333	1	1
4.33333	1	0
3.75	1	1
2.75	1	1
5.75	1	0
5.33333	1	1
4.25	1	0
5.5	1	1
1.83333	0	1
4.25	1	0
5.33333	0	1
4.75	1	0
2.75	0	0
3.33333	0	1
7.41667	0	0
2.25	0	0
7.5	0	1
6.75	1	1
6.75	0	1
3.91667	1	0
7.5	0	1
5.33333	0	0
5.33333	1	1
7.5	0	1
3.66667	0	0
4.33333	0	1
6.91667	1	1
7.66667	0	1
4.66667	1	1
3.33333	0	1
0.33333	0	0
4	1	1
1.83333	0	0
4.25	1	0
5.16667	0	1
2.75	0	1
0.75	0	0
3.75	1	1
4.66667	1	1
3.91667	1	1
6.33333	0	1
1.66667	1	1
2.75	0	0
7.58333	0	0
5.33333	1	0
3.75	1	0
6.25	0	0
4.83333	0	1
5.25	1	1
3.75	1	1
3.75	1	0
3.75	1	1
1.75	0	1
1.25	0	0
5.58333	1	0
5.91667	1	1
4.75	1	1
3.75	1	1
0.08333	0	0
4.5	1	0
1.33333	0	0
1.91667	0	0
4.25	1	1
3.91667	1	1
4.75	1	1
7.41667	0	1
6	1	0
7.33333	1	1
4.25	1	0
3.33333	1	0
3.75	1	1
4.25	0	0
6.58333	1	1
1.33333	0	1
5.41667	1	0
3.83333	1	1
2.08333	0	0
6.58333	1	1
3.66667	1	0
5.33333	0	0
6.25	0	1
4	1	0
3.75	1	1
4.91667	1	1
2.75	0	1
2.25	0	1
5.25	1	0
4.33333	1	1
3.75	1	1
4.66667	1	0
3.66667	1	0
7.33333	1	1
7.66667	0	0
3.66667	1	0
6.66667	1	1
4.75	1	0
5.33333	1	1
6	1	1
4.75	1	1
3.33333	1	0
3.66667	1	0
3.75	1	0
4.75	1	0
1.58333	0	0
6	0	1
3.75	1	1
3.75	1	1
3.75	1	1
3.75	1	0
0.16667	0	0
0.41667	0	1
3.75	1	0
3.91667	1	1
3.75	1	0
4.75	1	0
3.66667	1	0
4.25	1	0
6.25	0	1
3.75	1	1
1.08333	0	1
7.5	0	1
2.33333	0	0
5.33333	1	1
6	1	1
3.75	1	1
7.58333	0	1
6.66667	1	0
1	0	1
5.75	1	0
3.75	1	1
1.66667	0	0
6.83333	0	0
3.33333	1	1
3.33333	0	1
3.16667	0	0
2.75	1	1
4.33333	1	0
7.58333	0	0
1.75	0	1
4.33333	1	1
3.75	1	1
7.41667	0	0
2.08333	0	0
4.33333	1	1
0.25	0	0
4.25	1	0
2.33333	0	0
4.75	0	1
1.25	0	0
7.58333	0	1
7.5	0	0
3.25	0	0
3.75	1	0
1	0	0
3.75	0	0
5	1	1
5.25	1	1
0.33333	0	1
2.75	0	0
5.58333	1	1
2.33333	0	1
4.75	1	1
2.33333	0	0
7.91667	1	1
2.91667	1	1
5.91667	1	0
3.66667	0	1
4.16667	1	1
3.75	0	0
5.25	0	0
4.75	1	0
2.25	0	1
7.33333	0	0
3.66667	1	0
2.33333	0	1
1.75	0	1
4.91667	1	1
3.66667	0	1
6.75	0	0
3.91667	1	0
3.75	1	0
2.25	0	1
1.75	0	1
5.75	1	0
6.66667	1	0
4.75	0	0
7.33333	0	1
3.58333	1	0
0.5	0	1
5	1	0
0.5	0	0
5.66667	1	1
0	0	1
4.75	1	1
7.08333	0	1
3.33333	1	0
5.91667	0	0
5	1	0
5.66667	1	0
0	0	0
4.33333	1	0
4.75	1	0
7.75	0	0
6.16667	0	1
7.66667	1	0
4.33333	1	0
3.33333	0	1
5.66667	1	1
4.33333	1	1
7.5	0	0
6.75	0	0
6.91667	1	1
6.5	0	0
4.83333	0	0
2.25	0	1
4.66667	1	1
4.75	1	1
3.83333	1	1
2.66667	0	1
0.33333	0	0
4.33333	1	0
7.25	0	0
4.66667	0	1
0.91667	0	1
5	1	1
4.66667	1	0
2.91667	0	1
6.5	0	0
2.16667	0	0
4.66667	1	1
7.75	0	0
0.41667	0	1
4.75	1	1
3.75	0	0
4.66667	1	1
7.33333	0	0
2.25	0	0
5.75	1	0
2.91667	0	0
3.91667	1	0
3.66667	1	0
2.66667	0	0
4.16667	1	1
3.83333	1	1
7.75	1	1
0.58333	0	1
5	0	0
3.75	1	1
1.83333	0	0
7.5	0	0
3.75	1	1
0.5	0	1
3.75	0	1
5.83333	0	0
7.41667	0	1
4.75	1	1
7.66667	0	0
4.66667	1	1
7.83333	0	0
4.33333	1	0
4.33333	1	0
6.75	1	1
4.25	1	0
5.33333	1	1
1.33333	0	1
3.83333	1	1
0.75	0	1
4.33333	1	1
4	1	0
5	1	1
3.75	1	1
3.75	1	1
4.66667	1	0
4.66667	1	0
3.83333	1	1
3.75	1	0
3.75	1	1
3.66667	1	1
3.75	1	0
3.91667	1	0
4.5	1	0
4.75	1	1
4.91667	1	0
4.91667	1	1
4.83333	1	0
3.75	1	1
3.75	1	0
7	1	0
6.25	0	0
3.33333	1	1
7.33333	1	1
6.25	1	0
7.83333	0	1
3.75	1	1
5.25	1	0
3.66667	1	1
3.75	1	0
3.75	1	1
4.75	1	1
4.33333	1	1
7	1	0
4.33333	1	0
3.58333	1	0
3.75	1	1
3.91667	1	1
4	1	1
3.75	1	1
4.75	1	0
0.75	0	0
4.75	1	1
4.91667	1	0
3.75	1	0
3.66667	1	1
3.25	1	0
4.75	1	0
0	0	1
0.91667	0	1
1.75	0	1
3.75	1	0
0.66667	0	0
4.66667	1	1
5.33333	1	1
6.75	0	0
3.75	1	0
4.25	1	1
0.33333	0	1
0.25	0	0
0.41667	0	1
4.83333	1	0
4.83333	1	1
5.33333	1	1
7	0	0
3.66667	1	0
6.25	1	1
7.41667	0	0
4.91667	1	0
4.83333	1	1
7.5	0	1
1.5	0	0
3.75	1	1
3.75	1	0
5.66667	1	0
5.25	0	1
1.33333	0	1
5.75	1	1
5.25	1	1
5.25	0	1
7.66667	0	1
1.58333	0	0
3.91667	1	1
5.75	1	0
6.75	1	1
5.25	1	0
0.16667	0	0
7.83333	0	0
5.83333	1	1
3.58333	0	0
2.83333	0	0
4.91667	1	0
4.75	1	0
2.91667	1	0
4.91667	1	1
4.75	0	0
7.58333	0	1
4.16667	0	1
7.66667	0	0
6	0	0
3.75	1	1
1	0	1
7.66667	0	0
4.33333	0	1
3.75	1	1
3.75	1	1
3.83333	1	1
3.91667	1	1
5.91667	0	0
7.5	0	0
5.66667	1	0
4.75	1	1
1.5	0	0
7.83333	0	1
3.91667	1	1
7.5	0	0
6.33333	1	1
0.75	0	1
4.5	0	1
4.75	0	1
